slide_id,label
TCGA-44-6774-01A-01-BS1.1d074a9a-fd4f-4079-bf01-30c26cceaec4,tumor_tissue
TCGA-43-A474-01A-01-TS1.5F9E04AE-51EE-49B5-A3A9-C5DA0391FBC1,tumor_tissue
TCGA-05-4245-01A-01-TS1.bf71c76b-e802-4a7a-b6c3-c5f46212fab0,tumor_tissue
TCGA-44-8117-11A-01-TS1.0f3050ad-ca0a-411a-8224-cb1609f99622,normal_tissue
TCGA-39-5024-11A-01-TS1.55d33904-c049-4243-833a-4a02dc64dba5,normal_tissue
TCGA-55-8208-01A-01-TS1.53223698-3f49-460c-b3c7-6f4b5e492f5b,tumor_tissue
TCGA-33-4566-11A-01-TS1.e305216e-7546-4e90-a5ec-9d45bcba75db,normal_tissue
TCGA-18-3414-11A-01-BS1.edf5cb23-187e-4de7-9801-1c5f9d9309b5,normal_tissue
TCGA-55-6968-11A-01-TS1.64e5c4f1-759c-4819-b061-59bd248a5128,normal_tissue
TCGA-77-6845-01A-01-TS1.80ba6d02-c3f4-4e73-88bb-2f199e2b0bad,tumor_tissue
TCGA-55-A492-01A-01-TS1.B933A7B4-C49A-497E-826D-DEEE2739B9A2,tumor_tissue
TCGA-55-6980-01A-01-TS1.d9c3a443-0b13-40f5-80fd-575d53f91ea1,tumor_tissue
TCGA-05-4396-01A-01-BS1.acdc290a-7c12-4b59-8e5f-0b13fb7dbf2d,tumor_tissue
TCGA-73-4662-11A-01-TS1.ee8be1be-0491-4742-9116-1e64a194520e,normal_tissue
TCGA-75-6207-01A-01-TS1.2f664c87-e696-4468-9cfd-3309011dc42b,tumor_tissue
TCGA-33-4566-01A-01-BS1.57a447c4-945c-4edd-aabe-21773adab76d,tumor_tissue
TCGA-39-5034-11A-01-TS1.3c96a21e-2816-4941-848b-806e8944203e,normal_tissue
TCGA-58-8393-01A-01-BS1.89387b4a-8f6f-497a-b687-bef2ff3263d1,tumor_tissue
TCGA-50-6594-01A-01-TS1.242fa6fa-59a4-49df-8fc5-5d9c91ab6030,tumor_tissue
TCGA-44-3918-01A-01-BS1.6d4ead8e-d080-4c55-9ea2-519cfa30b94f,tumor_tissue
